Argument ID	Conclusion	Stance	Premise
A05096	We should prohibit school prayer	against	a non-denominational school prayer is about as bad as reciting the pledge of allegiance in school, and should be allowed.
A05097	We should adopt a zero-tolerance policy in schools	in favor of	children need to learn boundaries and consequences for their actions. they learn faster if there is immediate repercussions than if you let them do it over and over again.
A05100	Surrogacy should be banned	against	surrogacy shouldn't be banned because sometimes there is a health issue preventing a perfectly good mother from having a baby. she deserves to have a child and a surrogate is the only way to do that.
A07011	We should subsidize space exploration	against	there are much more important things to spend money on; space exploration is a low priority and should not be subsidized
A07012	We should subsidize journalism	in favor of	journalism is more important than ever in an era of fake news and social media.
A07020	We should abolish the Olympic Games	in favor of	the olympic games encourage animosity between countries
A07023	We should abolish safe spaces	in favor of	safe places are not needed. people need to adjust to the world in which they live in and stop trying to always seek protection from the things they don't like.
A07024	Payday loans should be banned	against	sometimes people need these emergency funds when they have no other available options.
A07025	We should abolish capital punishment	in favor of	there are too many historical cases where innocent people have been put to death.
A07029	Surrogacy should be banned	against	sometimes the only way that people can have children of their own is by having a surrogate to carry the child.
A07050	We should legalize cannabis	in favor of	cannabis should be legalized because it is no worse than alchohol.
A07051	We should cancel pride parades	against	we should continue to support pride parades because everyone has the right to do what they want as long as it does not harm others.
A07052	Intelligence tests bring more harm than good	against	intelligence tests help teachers and other school staff identify in where a student, or a whole group, is deficient.
A07060	We should legalize organ trade	in favor of	Organ sales increase the likelihood that people with rare blood types or conditions can find an organ.
A07063	We should adopt a multi-party system	against	adopting a multi-party system leads to the formation weak and unstable coalition governments
A07071	We should close Guantanamo Bay detention camp	in favor of	Detainees at Guanatanamo Bay have been forced to endure cruel and humiliating treatment, such as waterboarding, sleep deprivation, and other physical abuse.
A07073	We should ban the use of child actors	against	we should not ban the use of child actors because we would not have the shows and movies that are otherwise available.
A07080	We should abolish the three-strikes laws	against	if someone hasn't learned by the first two chances then they aren't going to stop committing crimes. it makes more sense to lock them away than to let them keep committing crimes against the population.
A07085	Surrogacy should be banned	against	surrogacy provides a family with a child and nothing is better than that
A07087	We should introduce compulsory voting	against	every individual should be able to choose whether or not they want to vote
A07093	We should ban human cloning	against	though it may sound awful, human cloning can provide perfect matches for organ transplants and prolong the lives of people.
A07096	We should ban telemarketing	in favor of	yes ban it, if i wanted to buy something i would know where to look for it without being bothered with constant calls
A08018	We should abolish the right to keep and bear arms	in favor of	the right to keep and bear arms should be abolished because too many people die from gun violence in america.
A09003	We should ban the use of child actors	against	we must not prohibit the use of child actors because it goes against the right to work. children under the supervision of their parents can develop their artistic talent without affecting their personal growth
A09022	We should abolish safe spaces	in favor of	safe spaces only shield people from the realities of the world and thus leave them unprepared.
A09023	We should ban the use of child actors	in favor of	the world of acting is a high pressure, extremely stressful place and children should be protected from it.
A09045	We should end the use of economic sanctions	against	economic sanctions can be very effective in bringing about social change
A09052	The vow of celibacy should be abandoned	against	the vow of celibacy, and those who choose to make that vow, should be respected. it should be a matter of individual choice for the individual.
A09060	We should abolish the Olympic Games	against	The Olympic Games allow for countries around the world to compete in friendly competition and is a healthy outlet for national pride.
A09064	We should abolish the three-strikes laws	in favor of	abolishing the three strikes law would save money
A09068	Holocaust denial should be a criminal offence	against	people have the right to think what they'd like.
A09073	We should abolish zoos	against	Zoos are a great and cheap way for children to learn about animals from all over the world.
A09087	Entrapment should be legalized	against	entrapment convinces people to commit a crime when they normally wouldn't and should not be legal.
A09093	We should end mandatory retirement	in favor of	You do not become unqualified for a job simply because you reach retirement age.
A09095	We should end affirmative action	in favor of	affirmative action can lead to people getting jobs that they are not fully ready to do as they were given opportunities due to specific creteria that are unrelated to the job such as skin colour.
A10009	We should legalize cannabis	against	Despite the propaganda, marijuana is actually more addictive than alcohol, the latter of which can be occasionally.
A10014	We should adopt a zero-tolerance policy in schools	in favor of	zero-tolerance policies keep schools safer by immediately removing the problem
A10020	We should abolish capital punishment	against	capital punishment is a real deterant to crime and should not be abolished.
A12002	We should ban cosmetic surgery for minors	against	minors should be allowed plastic surgery, so long as they get consent from their parents and the plastic surgeon.
A12006	We should ban the Church of Scientology	in favor of	the church of scientology is a dangerous cult that has caused psychological harm to some of its members and has held some members against their will
A12009	Foster care brings more harm than good	in favor of	children raised in foster care don't have the love of a mom and dad
A12014	We should introduce compulsory voting	against	not everyone has a strong opinion on every topic.  those who choose not to participate should have the freedom not to.
A12026	We should ban human cloning	against	we should allow human cloning as this will be beneficial to scientific advances in the future.
A12034	We should end racial profiling	in favor of	We should end racial profiling  as it is disgraceful in this day and age to presume that someone might be guilty of something just because of their skin colour.
A12039	We should ban the use of child actors	in favor of	we are exploiting the youth purely for entertainment
A12042	We should abolish safe spaces	in favor of	we should abolish safe spaces because those who are easily offended need to grow up
A12086	We should subsidize space exploration	against	we should not subsidize space exploration because there are far more important things to spend public money on closer to home such as healthcare, education and transport infrastructure
A12098	We should prohibit women in combat	in favor of	We should prohibit women from combat because even the fittest cannot be as physically strong as the men within their unit.
A12099	We should end mandatory retirement	against	the companies that have the mandatory retirement policy maintain a rotation of employees fresher and updated with the new times
A12102	We should ban cosmetic surgery	in favor of	cosmetic surgery has too many risks of something going wrong compared to the benefit of looking more aesthetically pleasing.
A12106	We should ban the use of child actors	against	child actors should be allowed to work and contribute their talents to society.
A12110	We should adopt gender-neutral language	against	we shouldn't have to adopt a gender neutral language, i think people should just understand that people speak languages in different ways and they should be acceptable of that.
A12123	We should abolish safe spaces	against	everyone needs a place where they can be accepted without judgment.
A12127	We should prohibit women in combat	against	gender should not matter when it comes to combat. as long as proper physical and mental tests are in place that is all that should matter for selection.
A12134	We should end affirmative action	in favor of	affirmative action is no longer needed in today's society
A12137	We should abandon marriage	against	we should not abandon marriage because it is important and a union made between two people under god.
A12140	We should ban the Church of Scientology	against	if people feel personal satisfaction within scientology, i do not see why we have to prohibit it.
A12148	We should ban cosmetic surgery	against	we should not ban cosmetic surgery because there are some people that are seriously need it done to improve their lifestyles
A12155	We should ban human cloning	in favor of	human cloning is unethical and has repercussions that we do not even know yet.
A12156	We should stop the development of autonomous cars	against	autonomous cars would help people who are disabled be able to have their own transportation.
A12166	We should ban algorithmic trading	against	algorithmic trading is faster and more accurate than human guesswork and so provides greater value to shareholders.
A12167	We should ban private military companies	against	the state can not have exclusivity in the creation of weapons, leaving aside private capital as a source of technological innovations for our defense
A12168	We should subsidize stay-at-home dads	in favor of	by subsidizing  stay-at-home dads we will improve the quality of the family life, giving the women a right to pursue a career
A12181	We should abolish safe spaces	in favor of	We should abolish safe spaces because they put public funding for universities at risk, due to backlash from right wing legislatures.
A12182	We should ban the use of child actors	in favor of	making a child work as an actor deprives them of childhood experiences and interactions.
A12185	We should ban private military companies	in favor of	private military companies should be banned as they are not subject to military laws
A12212	We should ban fast food	in favor of	fast food is known to contain unhealthy fats and no necessary nutrients
A12217	We should ban cosmetic surgery for minors	in favor of	Cosmetic surgery promotes a capitalistic society that focuses on solving problems with money rather than personal acceptance.
A12218	We should adopt a zero-tolerance policy in schools	in favor of	zero-tolerance policies are helpful as they stop children misbehaving
A12224	We should ban factory farming	against	factory farming is necessary in our society as a way to control and protect the environment in which the animals are living so they are not subjected to disease and predators.
A12230	We should ban telemarketing	in favor of	telemarketing targets the weak and encourages them to buy what they can't afford.
A12239	We should cancel pride parades	against	gay people have suffered alot over the decades and should be entitled to have a parade celebrating their sexuality.
A12257	We should abolish the right to keep and bear arms	in favor of	we should abolish the right to keep and bear arms as this right has gotten out of hand with too many mass shootings.
A12262	We should adopt libertarianism	in favor of	libertarianism allows the expression of free will and would make society more interesting by allowing people to be as they truly are.
A12266	We should cancel pride parades	against	cancelling pride parades goes against what they stand for.  those parades are vital for spreading acceptance.
A12269	We should adopt a zero-tolerance policy in schools	against	it is unfair on those being bullied to punish them the same as you punish the bully
A12271	We should prohibit flag burning	in favor of	flag burning is wrong and goes against the morals of the usa.
A12280	Blockade of the Gaza Strip should be ended	against	international bodies demanding an end to the blockade are dismissing israel's sovereignty.
A12288	We should ban algorithmic trading	in favor of	we should ban algorithmic trading because most people have no idea how it works and if it is good for them or not
A12302	We should adopt a zero-tolerance policy in schools	against	zero tolerance leaves no room for individual cases where it may do more harm than good
A12305	We should abolish the Olympic Games	against	the olympic games allow for true amateur athletes to live out their dreams.
A12313	Blockade of the Gaza Strip should be ended	in favor of	The blockade hurts Palestinian civilians that have nothing to do with Hamas and violence against Israel. It is unjust to punish civilians for the actions of terrorists.
A12315	We should adopt a zero-tolerance policy in schools	against	as americans we are granted the right of due process. sometimes there are extenuating circumstances that must be taken into account.
A12328	We should ban telemarketing	in favor of	telemarketing is annoying for people as they do not request a phone call and vunerable people such as the elderly often feel threatened into taking part.
A12333	We should stop the development of autonomous cars	in favor of	autonomous cars can be hacked and become a dangerous weapon for evil persons
A12336	We should legalize prostitution	in favor of	We should legalize prostitution since it should be out in the open. controlled and supervised- instead of hidden. this is most efficient way to improve sex workers conditions and pave their way to independence.
A12337	We should fight for the abolition of nuclear weapons	in favor of	The possession of nuclear weapons is illegal under international humanitarian law.
A12343	We should ban cosmetic surgery	in favor of	plastic surgery can cause many complications and infections and does not address the underlying self esteem issues of the patient
A12345	We should ban whaling	in favor of	whaling is wiping out species for little in return.
A12348	We should subsidize journalism	against	subsidizing journalism could raise questions about bias and editorial independence.
A12364	We should legalize cannabis	in favor of	Too much drugs depend on the availability of cannabis. legalizing it will make development of these drugs quicker
A12377	We should adopt a zero-tolerance policy in schools	in favor of	zero tolerance sets a clear and specific guideline for all to adhere to
A12379	We should abolish the three-strikes laws	in favor of	a three-strikes system does not allow for people to be treated fairly as individuals and instead is used as a &quot;one-size-fits-all&quot; control method for minority populations.
A12392	We should end the use of economic sanctions	against	economic sanctions can help control financial situations
A12397	We should abolish the three-strikes laws	in favor of	Three strikes laws destroy families by taking away parents and children for the rest of their lives with no chance of parole.
A12402	The vow of celibacy should be abandoned	in favor of	celibacy is an unnatural state; when sex drive is repressed, it can manifest in dangerous ways.
A12403	We should ban the Church of Scientology	in favor of	we should ban the church of scientology as many ex-members report manipulation and bullying and it has been reported to be a cult which has seperated families.
A12408	We should ban the use of child actors	against	if parents agree for their kids to do acting, i can`t see any problem with it.
A12409	We should subsidize stay-at-home dads	against	we don't subsidize stay-at-home moms, so subsidizing stay-at-home dads would be incredibly sexist.
A12414	We should close Guantanamo Bay detention camp	against	Keep Guantanamo but implement military tribunals to insure that the prisoners are not innocent people.
A12418	We should cancel pride parades	in favor of	pride parades can cause increased tensions which requires more police protection.  this can also cause fighting to break out.
A12426	We should end the use of economic sanctions	in favor of	we should end the use of economic sanctions because it causes more conflict.
A12440	We should legalize prostitution	in favor of	legalising prostitution can only be beneficial to the sex workers and their clients from a safety and health point of view.
A12447	Foster care brings more harm than good	against	foster care provides temporary shelter for children who would otherwise be on the streets.
A12454	We should limit executive compensation	against	companies should be able to pay as much as they like as long as it's above minimum wahe
A12457	We should end affirmative action	in favor of	Affirmative action leads to organizational inactivity or to bad action.
A12458	We should legalize prostitution	against	legalizing prostitution can many women as well as children vulnerable to the dangerous and immoral legal acceptance of prostitution.
A12459	We should ban cosmetic surgery	in favor of	cosmetic surgery makes people feel self-conscious about themselves, providing false imagery of natural beauty
A12464	We should abolish intellectual property rights	in favor of	since intellectual property is such covers such a broad spectrum, it is difficult to prove that rights have been infringed leading to lengthy legal cases and should, therefore be abolished.
A12465	Intelligence tests bring more harm than good	in favor of	Intelligence tests bring more harm than good because they undermine self esteem for children with lower scores than their classmates.
A12475	We should ban the Church of Scientology	in favor of	scientology is just a business that is trying to scam people out of money.
A12488	We should subsidize Wikipedia	against	subsidizing wikipedia will lead to bias in the contents. content creators and moderators will be afraid to criticize the people who contribute money to wikipedia
A12492	We should ban fast food	against	fast food shouldn't be banned because it helps people save times
A13001	We should adopt libertarianism	against	adopting libertarianism would eliminate many social programs, reducing access t food and health care to those in need
A13012	We should ban algorithmic trading	against	algorithmic trading allows for more timely, accurate, and efficient trading.
A13013	We should abolish capital punishment	against	capital punishment might be the only way to fairly punish a criminal for an exceedingly awful crime.
A14002	We should fight for the abolition of nuclear weapons	in favor of	Fallout from nuclear weapons gets carried across the world by the wind, we must abolish nuclear weapons so that conflicts between individual states don't cause nuclear damage in neighboring states.
A14003	Foster care brings more harm than good	against	foster carers are by default caring people who do a lot of valuable work
A14006	We should ban factory farming	against	factory farming is an efficient way to grow mass amounts of food for the food supply chain. it pushes innovation and makes farming more efficient and safer outcomes for the food supply.
A14008	Assisted suicide should be a criminal offence	in favor of	assisted suicide should be a criminal offence because that is murder
A14013	We should abolish safe spaces	against	the abused have the right to have spaces where they can have tolerance and not suffer abuse
A14015	We should fight urbanization	in favor of	urbanization increases pollution and drains resources.
A15011	We should prohibit women in combat	against	Woman should be allowed in combat. They are as strong mentally and physically as men.
A15019	We should legalize cannabis	against	cannabis use has been linked to mental problems in youth and shouldn't be legalized.
A17002	We should adopt a zero-tolerance policy in schools	against	schools already have systems and hierarchies, there is no need to employ further policies.
A17003	We should cancel pride parades	against	thepride parades are part of the empowerment of the lgbt community
A17011	We should ban algorithmic trading	in favor of	algorithmic trading can cause unnatural market movements.
A17015	We should ban human cloning	against	we should not ban human cloning as we need to continue to work to the betterment of the health and welfare of the people.
A18003	We should ban telemarketing	in favor of	unwanted telemarketing is a form of harassment, it's extremely annoying and it's got so out of hand that people are unable to avoid or opt out of it.
A18005	We should legalize prostitution	in favor of	we should legalize prostitution because if someone really wants to use those services, they should have the right to do so.  we can just regulate it.
A18009	We should end affirmative action	against	we should not end affirmative action because it helps people from being discriminated against
A18011	We should ban telemarketing	against	Telemarketing is an excellent tool if used sensitively and with caution
A18027	Payday loans should be banned	in favor of	the interest rate when failing to pay back in time can be as high as 300%, making your financial situation even more difficult.
A18028	We should ban naturopathy	against	naturopathy is considered by some people to be beneficial and will undoubtedly work in some cases due to the placebo effect
A18033	We should abolish zoos	in favor of	animals deserve to be in the wild, with access to large open spaces not available at a zoo.
A18036	We should abolish capital punishment	against	capital punishment is absolutely needed. it acts as a deterrent to prevent future crime. if a person knows they can be killed for their crime, it deters them and also makes sure they aren't released from prison
A18051	Foster care brings more harm than good	in favor of	According to multiple studies, children who go through the foster care system are more likely to deal with mental health issues and disorders than their peers.
A18056	We should ban the Church of Scientology	in favor of	scientology is not a real religion and you can't just take a work of sci-fi and make your own religion
A18057	We should ban whaling	in favor of	whaling is cruel and inhumane; it should be banned.
A18060	We should prohibit school prayer	against	we shouldn't prohibit school prayer because is important for religious education
A18062	We should stop the development of autonomous cars	against	autonomous cars could help people make better use of their time
A18067	We should subsidize embryonic stem cell research	in favor of	the investigations with mother cells could mean the definitive advance for the human race
A18083	We should fight for the abolition of nuclear weapons	against	we must not abolish nuclear weapons because they can be used in situations of extreme need like defending a country
A18087	Intelligence tests bring more harm than good	against	intelligence tests are just another tool for teachers to use
A18091	We should abandon marriage	against	marriage is a legal relationship so you can claim certain benefits and get inheritance when your loved ones dies.
A18092	We should ban naturopathy	in favor of	Naturopathic medication can have bad interactions with other medications the person is already taking that can be very harmful.
A18094	We should legalize cannabis	in favor of	some states have already done it so we might as well.
A18095	The use of public defenders should be mandatory	against	people may choose to defend themselves, if they believe it to be in their best interests
A18097	The use of public defenders should be mandatory	in favor of	Separate public and private defender systems contribute to social instability by being a very obvious example of the state providing preferential treatment to the rich.
A18101	We should abolish the Olympic Games	against	athletes train their whole lives in hopes that they can represent their country to be the best.
A18108	We should adopt gender-neutral language	against	other languages such as spanish and french have even more gendered language than we do, and they have no problems
A18113	Social media brings more harm than good	in favor of	social media causes harm by people trying to live up to their peers.
A18120	We should ban cosmetic surgery for minors	in favor of	childrens' bodies are constantly changing  throughout childhood so that, cosmetic surgery may be used to alter an disliked part of the body when it may change anyway, resulting in unnecessary surgery
A18127	We should end racial profiling	against	racial profiling is absolutely important.   because blacks commit a huge majority of crime in america there's no racism going on if cops may target people based on race.   it's common sense.
A18131	We should stop the development of autonomous cars	against	development of autonomous car will make traffic and parking  easier
A18136	We should ban the use of child actors	against	banning child actors would limit movies and tv shows. anything with children in the story would be unable to be made. television and movies for children would no longer exist either.
A18138	We should ban private military companies	in favor of	private military companies should be banned they often act as mercenaries and cant be regulated
A18139	We should subsidize journalism	in favor of	Journalism plays an essential role as watchdog of democracy, and keeping citizens informed. Such a valuable industry deserves government subsidization.
A18142	We should ban naturopathy	against	some natural remedies help people live healthy lives
A18164	We should adopt a zero-tolerance policy in schools	in favor of	zero-tolerance must be mandatory in school and is only way to stop negative stuff which happens so often in schools.
A18167	Entrapment should be legalized	against	entrapment should not be legalized as the poice will have a detailed knowledge of the law and therefore how to persuade others to break it in order to gain the conviction.
A18168	We should prohibit flag burning	against	flag burning is a means of expression and should be allowed under freedom of speech.
A18173	The vow of celibacy should be abandoned	against	celibacy holds many virtues, offers protection from disease as well as prevents unwanted pregnancies.
A18180	We should subsidize Wikipedia	against	it is inaccurate and should not be funded by government money.
A18201	We should abolish intellectual property rights	against	intellectual property rights protect inventors.
A18220	We should legalize polygamy	in favor of	if people all consent to a polygamous relationship, the state should not stop them legitimizing it.
A18221	We should ban private military companies	in favor of	private military companies are a risk to the general public as they are not regulated and therefore should be banned
A18223	We should subsidize space exploration	in favor of	space exploration needs our support to help us understand the universe and our place in it.
A18224	We should close Guantanamo Bay detention camp	against	guantanamo bay is the best place to detain the people there.  they are far too dangerous to be moved stateside.
A18226	We should subsidize Wikipedia	against	there is not need to subsidize wikipedia, it does not serve any purpose that cannot be filled elsewhere.
A18229	We should ban human cloning	against	we should not ban human cloning because it could help with medical research
A18233	We should end the use of economic sanctions	in favor of	they only hurt the poorest of society and are an outdated punishment.
A18240	We should ban cosmetic surgery	against	everyone has the right to alter their bodies or appearances in which ever way makes them feel comfortable and at ease.
A18241	We should ban whaling	against	We should not ban whaling because it is important to many aboriginal cultures in the arctic, and it is wrong for the governments of countries like Canada and Russia to oppress those peoples.
A18246	We should subsidize journalism	in favor of	we should, if it's subsidised it could mean better journalism
A18247	Surrogacy should be banned	against	surrogacy allows women to be a mother and love a child she normally couldn't.
A18293	We should cancel pride parades	in favor of	they are a waste of public resources.  policing these events costs a lot of money and to what end?
A18295	Assisted suicide should be a criminal offence	in favor of	assisted suicide is unethical how do we know that the person who is assisting the suicide hasnt got something to gain from the death of the other person
A18297	We should adopt an austerity regime	against	absolutely not.  the great president donald trump is turning the country around and saving us from the financial disaster that the last eight years were leading the united states towards.
A18317	Assisted suicide should be a criminal offence	against	Assisted suicide helps those who are in pain due to a devastating disease end their own lives on their own terms.
A18320	Blockade of the Gaza Strip should be ended	in favor of	It is unjust to punish civilians for the actions of military actors.
A18325	We should ban cosmetic surgery for minors	against	a person should be allowed to choose what happens to their bodies
A18327	We should abolish the right to keep and bear arms	in favor of	gun ownership hurts more people than it helps.
A18328	We should subsidize journalism	in favor of	keeping journalist in work helps the nation keep up with the news
A18330	We should end affirmative action	in favor of	Affirmative action is unfair to those who can make it without it for all their accomplishments are doubted.
A18336	We should subsidize stay-at-home dads	in favor of	support for parents is woefully lacking in this country; anything that eases the burden on families should be considered.
A18337	We should legalize polygamy	in favor of	Legalizing polygamy will remove the stigma on those who have been practicing it due to religious beliefs.
A18339	We should abandon the use of school uniform	against	school uniform makes all children on a level at school, reducing their differences in background and wealth to unify the class
A18344	We should ban the Church of Scientology	against	this country was founded by the freedom of religion, so people should have the right to follow any church they want.
A18351	We should ban human cloning	in favor of	human cloning should be banned as it is unnatural and serves no purpose in the world. individuality would be lost.
A18353	We should subsidize embryonic stem cell research	against	the nhs has limited funding and this should be spent providing care for those that need it rather than wasting it on research that may not help solve anytihng
A18355	We should ban factory farming	against	let the free market decide whether or not we should allow factory farming
A18372	We should fight urbanization	in favor of	urbanization brings crime and over population.
A18380	We should end racial profiling	in favor of	racial profiling goes against what our justice system is based on - that everyone is innocent until proven guilty.
A18393	We should subsidize journalism	against	journalists get paid enough, they don't need any more money.
A18396	We should fight urbanization	in favor of	urbanization turns the natural environment into a contrete jungle.
A18405	We should adopt libertarianism	against	without regulations and welfare, society would collapse into vast pools of crime and poverty
A18410	We should stop the development of autonomous cars	against	autonomous cars could prevent traffic jams and accidents.
A18412	We should ban the use of child actors	in favor of	using child actors can create unimaginable pressure ans stress on the child if they become a star or the production is a success and this can lead to substance abuse problems to cope with said pressure
A18440	We should fight for the abolition of nuclear weapons	in favor of	States have an obligation to their citizens to protect them, the existence of nuclear weapons anywhere poses an existential threat to citizens everywhere, which means every nation has an obligation to fight for abolition.
A18445	We should ban algorithmic trading	against	this helps traders make more informed decisions
A18449	We should adopt libertarianism	in favor of	libertarians are more fair than other politicians.
A18451	We should limit executive compensation	in favor of	out of control executive compensation raises the disparity between the haves and the have nots.
A18453	We should fight urbanization	in favor of	urbanization is destroying our natural habitat by over-expanding humans reach.  we need to scale back rather than continuing to destroy our environment.
A18455	The use of public defenders should be mandatory	against	public defenders are a drain on the judicial system because often they do not have their clients best interests at heart.
A18469	We should fight urbanization	in favor of	urbanization should be fought as it has a negative impact on rural areas as more and more leave those areas to move to cities.
A18479	We should end the use of economic sanctions	against	economic sanctions are very effective in dealing with countries who have many human rights abuses on their record.
A18481	We should ban telemarketing	against	Telemarketing involves lower overhead costs and thus saves companies money.
A18485	We should abolish capital punishment	against	it is the most effective deterrent to the worst crimes it is a waste of hard working people's money to pay for someone that committed atrocious crimes, to stay in a prison for the rest of their lives
A18489	We should ban telemarketing	in favor of	telemarketing is violative and intrusive. unwanted calls from telemarketers are too much annoying
A18500	We should adopt libertarianism	against	Libertarianism would end all the state run programs that people rely on.
A19009	We should abandon the use of school uniform	against	uniforms prevent arguments over what is appropriate school attire.
A19014	The use of public defenders should be mandatory	against	The use of public defenders should not be mandatory because it will discourage law students from going into criminal litigation, since the pay is much lower for public defenders than private.
A19021	We should ban the use of child actors	against	child actors are an important part of the acting industry and should continue to be allowed with restrictions to ensure the child's well being.
A19023	We should ban fast food	in favor of	fast food has almost non nutritional value. it is full of bad unhealthy ingredients and is causing the rise in health problems and obesity in the nation.
A19026	We should adopt gender-neutral language	against	there is no reason to adopt gender-neutral language as the fact that genders do exist and the differences do matter is indisputable!
A19027	We should ban private military companies	against	this helps cover more issues; the current government is too short staffed to deal with all of the problems.
A19031	We should ban the Church of Scientology	in favor of	the church of scientology should be banned simply because it's wrong for a belief system to dictate how your medical care can and cannot happen - like psychiatry.
A19035	We should abolish the right to keep and bear arms	against	not having an armed public would entice the government to become more tyrannical.
A19041	We should adopt a zero-tolerance policy in schools	against	a zero-tolerance policy gives administrators no leeway if a student commits a less than serious crime.
A19047	We should abandon the use of school uniform	against	school uniform enables all children to look the same, thus reducing the likelihood of bullying.
A19050	We should ban cosmetic surgery	against	cosmetic surgery boosts people's self esteem.
A19052	We should subsidize embryonic stem cell research	against	there are other stem cells that aren't from embryos that could be used instead.
A19063	Assisted suicide should be a criminal offence	in favor of	in some cases we can't be certain if the person truly wanted to die. some people could use assisted suicide as a way to remove someone they believe is burden.
A19069	We should abolish the Olympic Games	in favor of	we should abolish the olympic games because  it very expensive to host
A19076	We should subsidize embryonic stem cell research	against	like many other advances in science the government should not have to subsidize the research.  if the benefits are there the private sector will find a way to get results.
A19083	We should ban the Church of Scientology	in favor of	scientology is a cult and so is dangerous
A19089	We should ban whaling	against	some cultures like inuits rely on whales for many things like food and heating, and they use practically the entire whale.
A19091	We should ban algorithmic trading	against	trading using an algorithm is more accurate, quicker, and easier.
A19095	We should ban whaling	against	we use whales for many usable products.
A19111	The use of public defenders should be mandatory	against	this would cause a decrease in pay for the public defender and lower the quality of representation as too many people will rush to the new employment opportunities regardless of their record..
A19115	We should adopt a zero-tolerance policy in schools	in favor of	a zero-tolerance policy in schools shows children that the schools are not playing around when it comes to punishment
A19116	We should adopt a multi-party system	in favor of	a multi-party system will help to ensure that more political agendas will be given the chance to represent the people
A19126	We should subsidize Wikipedia	against	if the government gives wikipedia funds, wikipedia would be obligated to lean to their agenda
A19141	We should stop the development of autonomous cars	against	autonomous cars can assist the disabled, or those with limited abilities to get about
A19186	We should end affirmative action	against	Affirmative action has proven successful in giving more opportunities to succeed to those who otherwise wouldn't have received them, and has created more diverse workplaces and universities.
A19204	We should cancel pride parades	against	pride parades show acceptance and we need more of that
A19215	The vow of celibacy should be abandoned	in favor of	i consider it a sensitive issue, however, because of the great conflicts that this brought about in the catholic religion it is necessary to abandon this vow.
A19225	We should cancel pride parades	in favor of	possibly they cause disruption due to city centre's needing to be shut down for regular traffic.
A19230	We should end affirmative action	in favor of	Affirmative action is counter productive - instead of helping minorities it simply puts them in a permanent position of neediness
A19233	We should legalize cannabis	in favor of	it`s been proven that cannabis has some relief who helping people suffering from terminal illness.
A19244	Assisted suicide should be a criminal offence	against	many people face a cruel and protracted period of suffering before their death so with compassion they should be helped therefore assisted suicide should not be a criminal offence.
A19246	We should abolish capital punishment	against	recent investigations consistently demonstrate a strong link between executions and reduced murder rates
A19253	Assisted suicide should be a criminal offence	against	Assisted suicide should not be a criminal offence as people should not be expected to live in vegetative states and need help to make their own decisions to die a reality.
A19271	We should ban telemarketing	against	we shouldn't ban telemarketing because it is a useful way to make sales and it isn't overly abusive to people
